time,clk_1M024,rst_n_1M024,clk_16M384,rst_16M384,DAC_I,DAC_Q,DAC_bits,DAC_vld,pn_5,pn_4,DAC_bits_1,DAC_bits_0,ground,DAC_bits_X1,DAC_bits_X2
11130,0,1,1,0,-2046.0,-2.0,2.0,1.0,0,0,1,0,0,0,1
11131,0,1,0,0,2.0,-2046.0,2.0,1.0,0,0,1,0,0,0,1
11132,0,1,1,0,2.0,-2046.0,2.0,1.0,0,0,1,0,0,0,1
11133,0,1,0,0,2046.0,2.0,2.0,1.0,0,0,1,0,0,0,1
11134,0,1,1,0,2046.0,2.0,2.0,1.0,0,0,1,0,0,0,1
11135,0,1,0,0,-2.0,2046.0,2.0,1.0,0,0,1,0,0,0,1
11136,1,1,1,0,-2.0,2046.0,2.0,1.0,0,0,1,0,0,0,1
11137,1,1,0,0,-2046.0,-2.0,2.0,1.0,1,1,1,0,0,0,1
11138,1,1,1,0,-2046.0,-2.0,2.0,1.0,1,1,1,0,0,0,1
11139,1,1,0,0,2.0,-2046.0,2.0,1.0,1,1,1,0,0,0,1
11140,1,1,1,0,2.0,-2046.0,2.0,1.0,1,1,1,0,0,0,1
11141,1,1,0,0,2046.0,2.0,2.0,1.0,1,1,1,0,0,0,1
11142,1,1,1,0,2046.0,2.0,2.0,1.0,1,1,1,0,0,0,1
11143,1,1,0,0,-2.0,2046.0,2.0,1.0,1,1,1,0,0,0,1
11144,1,1,1,0,-2.0,2046.0,2.0,1.0,1,1,1,0,0,0,1
11145,1,1,0,0,-2046.0,-2.0,2.0,1.0,1,1,1,0,0,0,1
11146,1,1,1,0,-2046.0,-2.0,2.0,1.0,1,1,1,0,0,0,1
11147,1,1,0,0,2.0,-2046.0,2.0,1.0,1,1,1,0,0,0,1
11148,1,1,1,0,2.0,-2046.0,2.0,1.0,1,1,1,0,0,0,1
11149,1,1,0,0,2046.0,2.0,2.0,1.0,1,1,1,0,0,0,1
11150,1,1,1,0,2046.0,2.0,2.0,1.0,1,1,1,0,0,0,1
11151,1,1,0,0,-2.0,2046.0,2.0,1.0,1,1,1,0,0,0,1
11152,0,1,1,0,-2.0,2046.0,2.0,1.0,1,1,1,0,0,0,1
11153,0,1,0,0,-2046.0,-2.0,2.0,1.0,1,1,1,0,0,0,1
