time,clk_1M024,rst_n_1M024,clk_16M384,rst_16M384,DAC_I,DAC_Q,DAC_bits,DAC_vld,pn_5,pn_4,DAC_bits_1,DAC_bits_0,ground,DAC_bits_X1,DAC_bits_X2
27039,0,1,0,0,2046.0,2.0,3.0,1.0,1,0,1,1,0,0,1
27040,1,1,1,0,2046.0,2.0,3.0,1.0,1,0,1,1,0,0,1
27041,1,1,0,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,0,1
27042,1,1,1,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,0,1
27043,1,1,0,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,0,1
27044,1,1,1,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,0,1
27045,1,1,0,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,0,1
27046,1,1,1,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,0,1
27047,1,1,0,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,0,1
27048,1,1,1,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,0,1
27049,1,1,0,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,0,1
27050,1,1,1,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,0,1
27051,1,1,0,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,0,1
27052,1,1,1,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,0,1
27053,1,1,0,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,0,1
27054,1,1,1,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,0,1
27055,1,1,0,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,0,1
27056,0,1,1,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,0,1
27057,0,1,0,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,0,1
27058,0,1,1,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,0,1
27059,0,1,0,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,0,1
27060,0,1,1,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,0,1
27061,0,1,0,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,0,1
27062,0,1,1,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,0,1
27063,0,1,0,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,0,1
27064,0,1,1,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,0,1
27065,0,1,0,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,0,1
27066,0,1,1,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,0,1
27067,0,1,0,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,0,1
27068,0,1,1,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,0,1
27069,0,1,0,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,0,1
27070,0,1,1,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,0,1
27071,0,1,0,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,0,1
27072,1,1,1,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,0,1
27073,1,1,0,0,-2.0,2046.0,3.0,1.0,1,1,1,1,0,0,1
27074,1,1,1,0,-2.0,2046.0,3.0,1.0,1,1,1,1,0,0,1
27075,1,1,0,0,-2046.0,-2.0,3.0,1.0,1,1,1,1,0,0,1
27076,1,1,1,0,-2046.0,-2.0,3.0,1.0,1,1,1,1,0,0,1
27077,1,1,0,0,2.0,-2046.0,3.0,1.0,1,1,1,1,0,0,1
27078,1,1,1,0,2.0,-2046.0,3.0,1.0,1,1,1,1,0,0,1
